SpeciesNum,SpeciesName,SpecAddDate,SpecCode,SpecNotes,DataEntryName,SpecSSPGroup,SpecTSN
197,"Egregia menzesii Holdfast","20100530","EgmeHf","Holdfast percent cover","E menzesii Holdfast","brown alga","11305"
198,"Saccharina sessile Holdfast","20100530","SaseHf","percent cover holdfasts","H sessile Holdfast","brown alga","11255"
199,"Transect Distance","20100609","TraDis","Distance along transect in DECImeters, to make it an integer.  Weird, yes, but that's how it was measured, and otherwise it'll be the only decimal num.","Tdistance","none",
200,"Lottiidae Recruits","20100609","LotRec","Limpet recruits","Lottiidae Recruits","limpet","204927"
201,"Substrate","20100609","Substr","the divers' categories as.numeric: 1=bedrock 2=boulder 3=cobble 4=mixed coarse 5=gravel 6=sand 7=mud","Substrate","none",
202,"Elevation","20100609","Elevat","elevation above datum in INCHES; for use with belt trans, the quad elevations are given in index_quad table","Elevation","none",
203,"Pikea Farlowia Complex","20100530","PiFaCo","I'm having a hell of a time distinguishing these (or even deciding if I have both or just one).  Made some presses.  Lumping them together.","Pikea Farlowia Complex","red alga",
204,"TO ID YELLOW SPONGE IN SURFGRASS","20100931","TOIDYS","hard yellow sponge that lives amongst phyllospadix.  Pretty common.","TO ID YELLOW SPONGE IN SURFGRASS","sponge",
205,"UID Spider","20100606","UIDSpi","terrestrial spider; seen in intertidal amonst mussels and barnacles at Bunsby West and Bunsby East sites (>2 at each); according to guides, there aren't any intertidal spiders in BC; either they've all wandered astray (not likely) or that's incorrect; no collection, but some photos; would be nice to get this Idd","UID Spider","arachnid",
206,"Gobiesox spp","20100610","Gobspp","I'm not skilled enough to ID these; Dana Idd the G meandricus from a photo, but I see lots of others in the kelp; Dana said these are a diff species, but I can't tell; so lumping everything else (besides the one she idd) to genus","Gobiesox spp","fish",
207,"Ritterella rubra","20100610","Ritrub","Like ""red blobs of jelly""; bright red is a distinguishing feature, so is ""little to no sand""; I'm pretty confident of this ID using web pics and Lights manual","Ritterella rubra","tunicate",
208,"UID Orange Fungus Bryozoan","20100610","UIDOFB","An orange bzoan crust that flares up around edges to look like a fungus; very similar to this image (http://seanet.stanford.edu/Bryozoa/index.html#Membranipora_fusca) of Membranipora fusca and (http://www2.ucsc.edu/seymourcenter/Inverts/Bryozoa/Hippoporina_insculpta/Hippoporina_insculpta.html) of Hippoporina insculpta, among others, so I'm unsure of the ID","UID Orange Fungus Bryozoan","bryozoan",
209,"Sand","20100610","Sandxx","And sand or sediment smaller than cobble","Sand","none",
210,"Bossiella spp","20100610","Bosspp",,"Bossiella spp","red alga","12441"
212,"Cucumaria miniata","20100611","Cucmin","Large orange cucumber; up through 20100618 I thought they were Parastichipus, but based on what sarah told me and lots of photo-browsing I think they were all Cucmin (20100715)","Cucumaria miniata","cucumber",
213,"Styela spp","20100611","Styspp","orange tunicate on stalk","Styela spp","tunicate",
214,"Polynoidae","20100611","Polyno","scale worm family; many many genera","Scale Worm Complex","worm","64397"
6,"Endocladia muricata","20100530","Endmur",,"Endocladia muricata","red alga","12287"
15,"Neorhodomela larix","20100530","Neolar",,"N larix","red alga","13577"
22,"Balanus nubilus","20100530","Balnub","big","B nubilus","barnacle","656266"
31,"Mopalia spp","20100530","Mopspp","All hairy chitons","Mopalia sp","chiton","78980"
39,"Semibalanus cariosus","20100530","Semcar","leaves no scar if removed (unlike Balanus spp)","S cariosus","barnacle","89688"
40,"Lottia persona","20100530","Lotper","name updated from Tectura to Lottia on 20080201 on info from Doug Earnisse","T persona","limpet","568350"
48,"Phascolosoma agassizi","20100530","Phaaga","Peanut worms","Phascolosoma agassizi","worm","154698"
59,"Enhydra lutris","20100530","Enhlut","otter","Enhydra lutris","mammal","180547"
71,"Corvus corax","20100530","Corcur","Raven","Corvus corax","bird","179725"
87,"Mazzaella flaccida","20100530","Mazfla","green with rough margin","M flaccida","red alga",
102,"Strongylocentrotus purpuratus","20100530","Strpur","purple urchins","S purpuratus","urchin","157975"
113,"Chlorostoma funebralis","20100530","Chlfun",,"T funebralis","snail","69950"
124,"Platyhelminthes","20100530","Platyh","All flatworms","Platyhelminthes","worm","53963"
148,"Bittium spp","20100531","Bitspp","long and skinny","Bittium spp","snail","71976"
153,"Brachyramphus marmoratus","20100531","Bramar","marbled murrelet","Brachyramphus marmoratus","bird","176996"
1,"Analipus japonicus","20100530","Anajap",,"A japonicus","brown alga","11002"
2,"Callithamnion pikeanum","20100530","Calpik",,"C pikeanum","red alga","12937"
3,"Costaria costata","20100530","Coscos","3 x 2 ribs","Costaria costata","brown alga","11250"
4,"Cryptosiphonia woodii","20100530","Crywoo",,"C woodii","red alga","12254"
5,"Delesseria decipiens","20100530","Deldec","pretty red blade with bladelets","Delesseria decipiens","red alga","13241"
