"SpeciesNum","ReefNum","AreaCode","TaxaName","TaxaTSN"
1,20,"Barkley","","drop"
1,18,"Barkley","","drop"
1,18,"Barkley","","drop"
1,11,"Checklesat","","drop"
1,18,"Barkley","","drop"
1,14,"Checklesat","","drop"
1,19,"Barkley","","drop"
1,4,"Checklesat","","drop"
1,6,"Checklesat","","drop"
1,4,"Checklesat","","drop"
1,16,"Checklesat","","drop"
1,12,"Checklesat","","drop"
1,18,"Barkley","","drop"
1,20,"Barkley","","drop"
1,16,"Checklesat","","drop"
1,4,"Checklesat","","drop"
1,13,"Checklesat","","drop"
2,6,"Checklesat","","drop"
2,13,"Checklesat","","drop"
2,4,"Checklesat","","drop"
2,13,"Checklesat","","drop"
2,3,"Checklesat","","drop"
2,6,"Checklesat","","drop"
2,16,"Checklesat","","drop"
2,13,"Checklesat","","drop"
2,6,"Checklesat","","drop"
2,16,"Checklesat","","drop"
2,6,"Checklesat","","drop"
2,7,"Checklesat","","drop"
2,1,"Checklesat","","drop"
2,14,"Checklesat","","drop"
2,12,"Checklesat","","drop"
2,13,"Checklesat","","drop"
2,16,"Checklesat","","drop"
2,19,"Barkley","","drop"
3,14,"Checklesat","Costaria costata","11250"
3,6,"Checklesat","Costaria costata","11250"
3,20,"Barkley","Costaria costata","11250"
3,19,"Barkley","Costaria costata","11250"
3,19,"Barkley","Costaria costata","11250"
3,16,"Checklesat","Costaria costata","11250"
3,19,"Barkley","Costaria costata","11250"
3,7,"Checklesat","Costaria costata","11250"
3,12,"Checklesat","Costaria costata","11250"
3,13,"Checklesat","Costaria costata","11250"
3,6,"Checklesat","Costaria costata","11250"
3,20,"Barkley","Costaria costata","11250"
3,20,"Barkley","Costaria costata","11250"
3,20,"Barkley","Costaria costata","11250"
3,6,"Checklesat","Costaria costata","11250"
3,6,"Checklesat","Costaria costata","11250"
3,19,"Barkley","Costaria costata","11250"
3,13,"Checklesat","Costaria costata","11250"
3,13,"Checklesat","Costaria costata","11250"
3,16,"Checklesat","Costaria costata","11250"
3,6,"Checklesat","Costaria costata","11250"
3,6,"Checklesat","Costaria costata","11250"
3,1,"Checklesat","Costaria costata","11250"
3,19,"Barkley","Costaria costata","11250"
3,18,"Barkley","Costaria costata","11250"
3,4,"Checklesat","Costaria costata","11250"
4,20,"Barkley","","drop"
4,7,"Checklesat","","drop"
4,18,"Barkley","","drop"
4,18,"Barkley","","drop"
4,18,"Barkley","","drop"
4,4,"Checklesat","","drop"
4,13,"Checklesat","","drop"
4,20,"Barkley","","drop"
4,13,"Checklesat","","drop"
4,19,"Barkley","","drop"
4,18,"Barkley","","drop"
4,20,"Barkley","","drop"
4,20,"Barkley","","drop"
5,1,"Checklesat","","drop"
5,20,"Barkley","","drop"
5,6,"Checklesat","","drop"
5,13,"Checklesat","","drop"
5,4,"Checklesat","","drop"
5,18,"Barkley","","drop"
5,6,"Checklesat","","drop"
5,7,"Checklesat","","drop"
5,6,"Checklesat","","drop"
5,19,"Barkley","","drop"
5,20,"Barkley","","drop"
6,6,"Checklesat","Endocladia muricata","12286"
6,6,"Checklesat","Endocladia muricata","12286"
6,4,"Checklesat","Endocladia muricata","12286"
6,6,"Checklesat","Endocladia muricata","12286"
6,20,"Barkley","Endocladia muricata","12286"
6,16,"Checklesat","Endocladia muricata","12286"
