"TaxaName","TaxaTSN","TaxaNum","AreaCode"
"Costaria costata","11250",1,"Barkley"
"Endocladia muricata","12286",2,"Barkley"
"Fucus gardneri","11341",3,"Barkley"
"Halosaccion glandiforme","12824",4,"Barkley"
"Saccharina sessile","11255",5,"Barkley"
"Mastocarpus papillatus","san12",6,"Barkley"
"Microcladia","13080",7,"Barkley"
"Neorhodomela","san21",8,"Barkley"
"Odonthalia","13583",9,"Barkley"
"Pilayella littoralis","10824",10,"Barkley"
"Verrucaria","14050",11,"Barkley"
"Balanus glandula","89609",12,"Barkley"
"Balanus nubilus","656266",13,"Barkley"
"Chthamalus dalli","89592",14,"Barkley"
"Halichondria panicea","48396",15,"Barkley"
"Haliclona","47771",16,"Barkley"
"Idotea wosnesenskii","92612",17,"Barkley"
"Katharina tunicata","78979",18,"Barkley"
"Leptasterias","157225",19,"Barkley"
"Littorina sitkana","70397",20,"Barkley"
"Lottia digitalis","567816",21,"Barkley"
"Mopalia","78980",22,"Barkley"
"Mytilus trossulus","567928",23,"Barkley"
"Pagurus","97775",24,"Barkley"
"Pododesmus macrochisma","79792",25,"Barkley"
"Pugettia","98435",26,"Barkley"
"Pycnopodia helianthoides","157274",27,"Barkley"
"Semibalanus cariosus","89688",28,"Barkley"
"Lottia persona","568350",29,"Barkley"
"Lottia scutum","568351",30,"Barkley"
"Tonicella","78897",31,"Barkley"
"Mytilus californianus","79455",32,"Barkley"
"Mazzaella","san47",33,"Barkley"
"Onchidella","78761",34,"Barkley"
"Henricia leviuscula","157157",35,"Barkley"
"Cryptochiton stelleri","79032",36,"Barkley"
"Phascolosomatidae","154883",37,"Barkley"
"Hiatella arctica","81765",38,"Barkley"
"Lacuna","70370",39,"Barkley"
"Nemertea","57411",40,"Barkley"
"Nereididae","65870",41,"Barkley"
"Gammaridea","93295",42,"Barkley"
"Dermasterias imbricata","157139",43,"Barkley"
"Diaulula sandiegensis","78188",44,"Barkley"
"Sabellida","555671",45,"Barkley"
"Nereocystis leutkeana","11277",46,"Barkley"
"Polysiphonia","13440",47,"Barkley"
"Lottia pelta","567823",48,"Barkley"
"Ulvacaea","6501",49,"Barkley"
"Acrosiphoniacaea","6720",50,"Barkley"
"Hydrozoa","48739",51,"Barkley"
"Porphyra","11540",52,"Barkley"
"Hildenbrandia","12295",53,"Barkley"
"Smithora","11523",54,"Barkley"
"Cladophoracaea","6746",55,"Barkley"
