"PreyTSN","PredTSN","PredPreyNum","PredStageNum","PreyStageNum","PredName","PredNum","PreyName","PreyNum","AreaCode"
"10824","52551",70213,7,7,"Anthopleura",57,"Pilayella littoralis",10,"Barkley"
"10824","52551",70175,7,7,"Anthopleura",57,"Pilayella littoralis",10,"Barkley"
"10824","93295",56731,2,7,"Gammaridea",42,"Pilayella littoralis",10,"Barkley"
"10824","93295",56738,2,7,"Gammaridea",42,"Pilayella littoralis",10,"Barkley"
"10824","568351",1801,2,7,"Lottia scutum",30,"Pilayella littoralis",10,"Barkley"
"10853","93226",4691,7,7,"Ligia",91,"Ralfsia",101,"Barkley"
"10853","567823",14470,7,7,"Lottia pelta",48,"Ralfsia",101,"Barkley"
"10853","568351",14474,7,7,"Lottia scutum",30,"Ralfsia",101,"Barkley"
"10853","70397",14466,7,7,"Littorina sitkana",20,"Ralfsia",101,"Barkley"
"10853","78979",14482,7,7,"Katharina tunicata",18,"Ralfsia",101,"Barkley"
"10853","78980",59604,7,7,"Mopalia",22,"Ralfsia",101,"Barkley"
"10853","78980",53164,7,7,"Mopalia",22,"Ralfsia",101,"Barkley"
"10853","69950",41,7,7,"Chlorostoma funebralis",75,"Ralfsia",101,"Barkley"
"11217","70370",3385,7,7,"Lacuna",39,"Laminaria",70,"Barkley"
"11217","157975",49370,7,7,"Strongylocentrotus purpuratus",68,"Laminaria",70,"Barkley"
"11217","70370",775,7,7,"Lacuna",39,"Laminaria",70,"Barkley"
"11217","70370",36388,7,7,"Lacuna",39,"Laminaria",70,"Barkley"
"11217","69950",51273,7,7,"Chlorostoma funebralis",75,"Laminaria",70,"Barkley"
"11217","93295",52291,7,7,"Gammaridea",42,"Laminaria",70,"Barkley"
"11217","99035",51304,7,7,"Hemigrapsus nudus",88,"Laminaria",70,"Barkley"
"11217","69950",49398,7,7,"Chlorostoma funebralis",75,"Laminaria",70,"Barkley"
"11217","157975",51284,7,7,"Strongylocentrotus purpuratus",68,"Laminaria",70,"Barkley"
"11217","93295",52293,7,7,"Gammaridea",42,"Laminaria",70,"Barkley"
"11217","93295",54897,7,7,"Gammaridea",42,"Laminaria",70,"Barkley"
"11217","70370",3384,7,7,"Lacuna",39,"Laminaria",70,"Barkley"
"11217","70370",35968,7,7,"Lacuna",39,"Laminaria",70,"Barkley"
"11217","70401",53,7,7,"Littorina scutulata",85,"Laminaria",70,"Barkley"
"11217","93226",48348,7,7,"Ligia",91,"Laminaria",70,"Barkley"
"11217","157975",49672,7,7,"Strongylocentrotus purpuratus",68,"Laminaria",70,"Barkley"
"11217","69950",51234,7,7,"Chlorostoma funebralis",75,"Laminaria",70,"Barkley"
"11217","65870",40395,3,7,"Nereididae",41,"Laminaria",70,"Barkley"
"11217","157975",52006,7,7,"Strongylocentrotus purpuratus",68,"Laminaria",70,"Barkley"
"11217","98435",51992,7,7,"Pugettia",26,"Laminaria",70,"Barkley"
"11217","70370",13618,7,7,"Lacuna",39,"Laminaria",70,"Barkley"
"11217","98435",450,7,7,"Pugettia",26,"Laminaria",70,"Barkley"
"11217","93295",52300,7,7,"Gammaridea",42,"Laminaria",70,"Barkley"
"11217","98435",51312,7,7,"Pugettia",26,"Laminaria",70,"Barkley"
"11217","93295",52289,7,7,"Gammaridea",42,"Laminaria",70,"Barkley"
"11217","99035",47544,7,7,"Hemigrapsus nudus",88,"Laminaria",70,"Barkley"
"11217","98435",451,7,7,"Pugettia",26,"Laminaria",70,"Barkley"
"11217","93295",52287,7,7,"Gammaridea",42,"Laminaria",70,"Barkley"
"11250","157975",51282,7,7,"Strongylocentrotus purpuratus",68,"Costaria costata",1,"Barkley"
"11250","79032",14017,7,7,"Cryptochiton stelleri",36,"Costaria costata",1,"Barkley"
"11250","69950",50244,7,7,"Chlorostoma funebralis",75,"Costaria costata",1,"Barkley"
