Taxon,FoodWebNotes,FoodWebTSN,FoodWebName
Abietinaria greenei,unknown,,
Abietinaria greeni,unknown,,
Acantholithodes hispidus,unknown,,
Acmaea mitra,good,69662,Acmaea mitra
Acteocina harpa,unknown,,
Actinaria (Order) - Unknown,"drop, too broad, we have lower level anemones",drop,
Actiniidae - Unknown,"drop, too broad, we have lower level anemones",drop,
Aeolidina (suborder) - Unknown,unknown,,
Agarum fimbriatum,"good, lump to genus",11246,Agarum
Ahnfeltiopsis linearis,unknown,,
Alaria spp.,"good, lump to genus",11289,Alaria
Alvania,unknown,,
Ammothella sp.,unknown,,
Amphipholis sp.,"good, lump to Ophiuroidea",157325,Ophiuroidea
Amphipods,drop? too broad?,,
Amphissa columbianum,"good, lump to genus",73534,Amphissa
Amphissa spp.,good,73534,Amphissa
Amphissa versicolor,"good, lump to genus",73534,Amphissa
Annelids,drop? too broad?,,
Anoplodactylus viridintestinalis,unknown,,
Anthopleura artemisia,good,,
Anthopleura xanthogrammica,good,,
Apodichthys flavidus,unknown,,
Armandia brevis,unknown,,
Artedius fenestralis,unknown,,
Artedius harringtoni,unknown,,
articulated coralline,"good.  Elsewhere, i’ve had Bossiella and Corallina as sep nodes",,
Asterina miniata,unknown,,
Asteroidea (Class) - Unknown,"drop, too broad, we have lower level stars",,
Astraea gibberosa,unknown,,
Astyris gausapata,unknown,,
Aulorhynchus flavidus,unknown,,
Balanophyllia elegans,"drop, too few links",,
Balanus crenatus,good,,
Balcis micans,unknown,,
Bangia spp.,good,,
Barnacles,"drop, too broad, we have lower level taxa",,
Betaeus sp.,unknown,,
Bittium,good,,
Bivalves,"drop, too broad",,
Bivalvia (Class) - Unknown,"drop, too broad",,
Bossiella californica schmittii,good as Bossiella,,
Bossiella chiloensis,good as Bossiella,,
Bossiella frondescens,good as Bossiella,,
Bossiella orbigniana dichotoma,good as Bossiella,,
Bossiella plumosa,good as Bossiella,,
Bossiella spp.,good as Bossiella,,
boulders and cobble,drop,,
Brachyistius frenatus,unknown,,
BRF,"black rock fish?  If so, good",,
Brittle stars,keep as Ophiuroidea,,
Brittlestars,keep as Ophiuroidea,,
Brown Irish Lord,unknown,,
Brown recruits,drop,,
Bryozoans,keep as Gymnolaemata,,
Bryzoans,keep as Gymnolaemata,,
Cadlina luteomarginata,unknown,,
Calliarthron spp.,unknown,,
Calliarthron tuberculosum,"unknown, elsewhere, i’ve only had Bossiella and Corallina",,
Calliostoma canaliculatum,"good, lump to genus",,
Calliostoma ligatum,"good, lump to genus",,
Calliostoma spp.,"good, lump to genus",,
Callophyllis crenulata,unknown,,
Callophyllis edentata,unknown,,
Callophyllis flabellulata,unknown,,
Callophyllis heanophylla,unknown,,
Callophyllis spp.,unknown,,
Callophyllis spp. #1,unknown,,
Callophyllis spp. #2,unknown,,
Cancer oregonensis,"good, lump to genus",,
Cancer productus,"good, lump to genus",,
Cancer sp. ,good,,
Cancer spp.,good,,
Caprella sp.,"good, lump to Caprellidae",,
Ceratostoma foliatum,drop,,
Ceratostoma inornatum,unknown,,
Cerebratulus californiensis,unknown,,
Chaetopleura gemma,unknown,,
Chelyosoma productum,unknown,,
Chirolophis nugator,"dropped, can't lump and insufficient data",,
Chirolophis spp.,"dropped, can't lump and insufficient data",,
chiton,"drop, too broad",,
Chitons,"drop, too broad",,
Chlamys hastata,"good, lump to Pectinidae",79611,Pectinidae
Chlamys sp.,"good, lump to Pectinidae",79611,Pectinidae
Chlorostoma funebralis,unknown,,
Chlorostoma pulligo,unknown,,
Chondracanthus corymbifera,unknown,,
Chondracanthus corymbiferus,unknown,,
Chondracanthus corymiberus,unknown,,
Chondracanthus exasperatus,unknown,,
Chondracanthus sp.,unknown,,
Chordates,"drop, too broad",,
Cirratulus cirratus,"good, lump to Terebellidae",67899,Terebellidae
Clam,"drop, too broad",,
Clavelina huntsmani,unknown,,
Cnemidocarpa finmarkiensis,NULL,,
cobbly/rocky,drop,,
Colanthura bruscai,unknown,,
Columbellidae - Unknown,unknown,,
Constantinea subulifera,drop,,
Copepoda (Subclass),unknown,,
Corallina officianalis,unknown,,
Corallina vancouverensis,unknown,,
Coryphopterus nicholsi,unknown,,
