"SpeciesNum","SpeciesName","DataEntryName","SpecCode","SpecTSN","WebName","WebTSN","DigAfName","DigAfTSN","DigAfNote","SpecAddDate","SpecNotes","SpecSSPGroup"
"1","Analipus japonicus","A japonicus","Anajap","11002",,"drop","brown algae","10686","Phaeophyceae","20100530",NULL,"brown alga"
"2","Callithamnion pikeanum","C pikeanum","Calpik","12937",,"drop",,,NULL,"20100530",NULL,"red alga"
"3","Costaria costata","Costaria costata","Coscos","11250","Costaria costata","11250",,,NULL,"20100530","3 x 2 ribs","brown alga"
"4","Cryptosiphonia woodii","C woodii","Crywoo","12254",,"drop","red algae","660046",NULL,"20100530",NULL,"red alga"
"5","Delesseria decipiens","Delesseria decipiens","Deldec","13241",,"drop",NULL,,NULL,"20100530","pretty red blade with bladelets","red alga"
"6","Endocladia muricata","Endocladia muricata","Endmur","12287",,"drop","red algae","660046",NULL,"20100530",NULL,"red alga"
"7","Fucus gardneri","Fucus gardneri","Fucgar","11341","Fucus","11334","brown algae","10686",NULL,"20100530",NULL,"brown alga"
"8","Gloiopeltis furcata","Gloiopeltis furcata","Glofur","12291",,"drop",,,NULL,"20100530",NULL,"red alga"
"9","Halosaccion glandiforme","H glandiforme","Halgla","12825",,"drop","red algae","660046",NULL,"20100530",NULL,"red alga"
"10","Saccharina sessile","H sessile","Sacses","11255","Saccharina sessile","11255","brown algae","10686",NULL,"20100530","name changed from Hedophyllum to Saccharina on 20080404 to keep up with taxonomy","brown alga"
"11","Leathesia difformis","Leathesia difformis","Leadif","10961",,"drop",,,NULL,"20100530",NULL,"brown alga"
"12","Mastocarpus papillatus","Mastocarpus papillatus","Maspap",NULL,"Mastocarpus","san12","red algae","660046",NULL,"20100530",NULL,"red alga"
"13","Melanosiphon intestinalis","Melanosiphon intestinalis","Melint","11061",,"drop","brown algae","10686",NULL,"20100530","Twisted; easily confused with S simplissimus, but darker and lacking constrictions","brown alga"
"14","Microcladia borealis","Microcladia borealis","Micbor","13081",,,,,NULL,"20100530",NULL,"red alga"
"15","Neorhodomela larix","N larix","Neolar","13577","Neorhodomela","san21","red algae","660046",NULL,"20100530",NULL,"red alga"
"16","Odonthalia floccosa","O floccosa","Odoflo","13586","Odonthalia","13583","red algae","660046",NULL,"20100530",NULL,"red alga"
