"SpeciesNum","SpeciesName","DataEntryName","SpecCode","SpecTSN","WebName","WebTSN","SpecAddDate","SpecNotes","SpecSSPGroup"
"1","Analipus japonicus","A japonicus","Anajap","11002",,"drop","20100530",NULL,"brown alga"
"2","Callithamnion pikeanum","C pikeanum","Calpik","12937",,"drop","20100530",NULL,"red alga"
"3","Costaria costata","Costaria costata","Coscos","11250","Costaria costata","11250","20100530","3 x 2 ribs","brown alga"
"4","Cryptosiphonia woodii","C woodii","Crywoo","12254",,"drop","20100530",NULL,"red alga"
"5","Delesseria decipiens","Delesseria decipiens","Deldec","13241",,"drop","20100530","pretty red blade with bladelets","red alga"
"6","Endocladia muricata","Endocladia muricata","Endmur","12287",,"drop","20100530",NULL,"red alga"
"7","Fucus gardneri","Fucus gardneri","Fucgar","11341","Fucus","11334","20100530",NULL,"brown alga"
"8","Gloiopeltis furcata","Gloiopeltis furcata","Glofur","12291",,"drop","20100530",NULL,"red alga"
"9","Halosaccion glandiforme","H glandiforme","Halgla","12825",,"drop","20100530",NULL,"red alga"
"10","Saccharina sessile","H sessile","Sacses","11255","Saccharina sessile","11255","20100530","name changed from Hedophyllum to Saccharina on 20080404 to keep up with taxonomy","brown alga"
"11","Leathesia difformis","Leathesia difformis","Leadif","10961",,"drop","20100530",NULL,"brown alga"
"12","Mastocarpus papillatus","Mastocarpus papillatus","Maspap",NULL,"Mastocarpus","san12","20100530",NULL,"red alga"
"13","Melanosiphon intestinalis","Melanosiphon intestinalis","Melint","11061",,"drop","20100530","Twisted; easily confused with S simplissimus, but darker and lacking constrictions","brown alga"
"14","Microcladia borealis","Microcladia borealis","Micbor","13081","Microcladia","13080","20100530",NULL,"red alga"
"15","Neorhodomela larix","N larix","Neolar","13577","Neorhodomela","san21","20100530",NULL,"red alga"
"16","Odonthalia floccosa","O floccosa","Odoflo","13586","Odonthalia","13583","20100530",NULL,"red alga"
"17","Pilayella littoralis","Pilayella littoralis","Pillit","10824","Pilayella littoralis","10824","20100530","Usually epiphytic on Fucus gardneri","brown alga"
"19","Verrucaria maura","Verrucaria maura","Vermau",NULL,"Verrucaria","14050","20100530",NULL,"lichen"
"20","Acmaea mitra","Acmaea mitra","Acmmit","69662","Acmaea mitra","69662","20100530",NULL,"limpet"
"21","Balanus glandula","B glandula","Balgla","89609","Balanus glandula","89609","20100530","scutum tergum cross is sinuous; one black smudge on each scutum; leaves scar if removed (unlike Semibalanus spp)","barnacle"
"22","Balanus nubilus","B nubilus","Balnub","656266","Balanus nubilus","656266","20100530","big","barnacle"
"23","Chthamalus dalli","Chthamalus dalli","Chtdal","89592","Chthamalus dalli","89592","20100530","duh","barnacle"
"24","Halichondria panicea","Halichondria panicea","Halpan","48396","Halichondria panicea","48396","20100530","green and yellow sponge","sponge"
"25","Haliclona","Haliclona","Halspp","47771","Haliclona","47771","20100530","purple sponge","sponge"
"26","Idoteidae","Idoteidae","Idotei","92564","Idoteidae","92564","20100530","Changed from Idowos to Idoteidae on 20140622","isopod"
"27","Katharina tunicata","Katharina tunicata","Kattun","78979","Katharina tunicata","78979","20100530",NULL,"chiton"
"28","Leptasterias","Leptasterias","Leptas","157225","Leptasterias","157225","20140618","six armed stars","star"
"29","Littorina sitkana","L sitkana","Litski","70397","Littorina","70395","20100530",NULL,"snail"
"30","Lottia digitalis","L digitalis","Lotdig","567816","Lottia digitalis","567816","20100530",NULL,"limpet"
"31","Mopalia","Mopalia","Mopspp","78980","Mopalia","78980","20100530","All hairy chitons","chiton"
"32","Mytilus trossulus","M trossulus","Myttro","567928","Mytilus","79452","20100530",NULL,"bivalve"
"33","Nucella canaliculata","N canaliculata","Nuccan","73293","Nucella canaliculata","73293","20100530","ridges all same size (always?); operculum opening less of total height than Nuclim; sutures (base of whorls) more distinct than in Nuclim","whelk"
"34","Pagurus hirsutiusculus","P hirsutiusculus","Paghir","97788","Paguridae","97774","20100530",NULL,"crab"
"35","Pododesmus macrochisma","Pododesmus macrochisma","Podmac","79792","Pododesmus","79791","20100530","False Jingle; glued to rock; image 6416-6418","bivalve"
"36","Pugettia","Pugettia","Pugspp","98435","Pugettia","98435","20100530","All kelp crabs","crab"
"37","Pycnopodia helianthoides","Pycnopodia helianthoides","Pychel","157274","Pycnopodia helianthoides","157274","20100530",NULL,"star"
"38","Neomolgus littoralis","Neomolgus littoralis","Neolit","82757","Prostigmata","82770","20100530","red mite","terrestrial arthropod"
"39","Semibalanus cariosus","S cariosus","Semcar","89688","Semibalanus cariosus","89688","20100530","leaves no scar if removed (unlike Balanus spp)","barnacle"
"40","Lottia persona","T persona","Lotper","568350","Lottia persona","568350","20100530","name updated from Tectura to Lottia on 20080201 on info from Doug Earnisse","limpet"
"41","Lottia scutum","T scutum","Lotscu","568351","Lottia scutum","568351","20100530","name updated from Tectura to Lottia on 20080201 on info from Doug Earnisse","limpet"
"42","Tonicella","Tonicella","Tonice","78897","Tonicella","78897","20100530","Lined tonicella chitons.  I think there are several spp in the rats.  No attempt to distinguish them.","chiton"
"43","Mytilus californianus","M californianus","Mytcal","79455","Mytilus","79452","20100530",NULL,"bivalve"
"45","Onchidella borealis","Onchidella borealis","Oncbor","78762","Onchidella","78761","20100530","Leather limpets","limpet"
"46","Henricia","Henricia","Henric","157152","Henricia","157152","20140618",NULL,"star"
"47","Cryptochiton stelleri","Cryptochiton stelleri","Cryste","79032","Cryptochiton stelleri","79032","20100530",NULL,"chiton"
"48","Phascolosoma agassizi","Phascolosoma agassizi","Phaaga","154698","Phascolosomatidae","154883","20100530","Peanut worms","worm"
"49","Hiatella arctica","Hiatella arctica","Hiaarc","81765","Hiatellidae","81760","20100530","bivalve, small, white, red siphons, lives in cracks and under rocks, open at top.","bivalve"
"50","Lacuna variegata","Lacuna variegata","Lacvar","70377","Lacuna","70370","20100530","Beefier and squater and smaller and usually lower than Litsit","snail"
"51","Cucumaria vegae","Cucumaria vegae","Cucveg","158208","Cucumaria","158191","20100530","black small one; Lambert says western range to Commanders; Lambert also says its nearly indistinguishable from C pseudocurata","cucumber"
"52","Paranemertes","Paranemertes","Parspp","57502","Emplectonematidae","57493","20130630",NULL,"worm"
"53","Nereididae","Nereididae","Nereid","65870","Nereididae","65870","20100530","All nereid worms","worm"
"54","Haematopus bachmani","Haematopus bachmani","Haebac","176475",NULL,"drop","20100530","oystercatchers","bird"
"55","Gammaridea","Gammaridea","Gamari","93295","Gammaridea","93295","20100530","All gammarid amphipods (suborder)","amphipod"
"56","Phoca vitulina","Phoca vitulina","Phovit","180649",,"drop","20100530","harbor seal","mammal"
"57","Dermasterias imbricata","Dermasterias imbricata","Derimb","157139","Dermasterias imbricata","157139","20100530","webbed star; always orangish and smooth/squishy; see also Patiria which is usually darker and always more leathery","star"
"58","Diaulula sandiegensis","Diaulula sandiegensis","Diasan","78188","Diaulula sandiegensis","78188","20100530","leopard nudibranch; brown and tan","nudibranch"
"59","Enhydra lutris","Enhydra lutris","Enhlut","180547","Enhydra lutris","180547","20100530","otter","mammal"
"60","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Halleu","175420",NULL,"drop","20100530","bald eagle","bird"
"61","Serpulidae","Serpulidae","Serpul","68232","Sabellidae","68076","20100530","All Serpula big calc tube worms","worm"
"62","Nereocystis leutkeana","Nereocystis leutkeana","Nerleu","11277","Nereocystis leutkeana","11277","20100530","Bull Kelp","brown alga"
"63","Pagurus","Pagurus","Pagspp","97775","Paguridae","97774","20100530","Any Pagurus that weren't IDd to spp","crab"
"64","Lottia paradigitalis","L strigatella","Lotpar",NULL,,"drop","20100530","high limpet; cone shaped; dark bands around outer rim; previously L strigatella","limpet"
"66","Ceramium","Ceramium","Cerspp","12978",,"drop","20100530","Any Ceramium looking species","red alga"
"67","Polysiphonia hendryii","Polysiphonia hendryii","Polhen","13441","Polysiphonia","13440","20100530",NULL,"red alga"
"68","Lottia pelta","L pelta","Lotpel","567823","Lottia pelta","567823","20100530",NULL,"limpet"
"69","Ulva","Ulva","Ulvaxx","6559","Ulvaceae","6501","20100530","Any thin green sheet","green alga"
"70","Acrosiphonia","Acrosiphonia","Acrspp","6721","Acrosiphoniaceae","6720","20100530","includes anything that looks like Acrosiphonia; unsure if they're all really in this genus","green alga"
