TaxonName_org,TaxonTSN_org,TaxonName_nsOnly,TaxonTSN_nsOnly,TaxonNotes_nsOnly,TaxonName_nsOnly_intres,TaxonTSN_nsOnly_intres,TaxonName_nsNint_maxres,TaxonTSN_nsNint_maxres,TaxonName_nsNint_intres,TaxonTSN_nsNint_intres,SpecSSPGroup,Phylum/Division,CommonName,Synonyms,Citation,DataEntryStatus,DataEntryNotes
Abothrium gadi,no TSN,,dropped,Not a lot of data (2 local hosts).,,dropped,,dropped,,dropped,worm,Platyhelminthes,parasitic cestode,,"Moles, Heintz. 2007. PARASITES OF FORAGE FISHES IN THE VICINITY OF STELLER SEA LION (EUMETOPIAS JUBATUS) HABITAT IN ALASKA. Journal of Wildlife Diseases. ",done,A few hosts listed
Acanthephyra chacei,96124,Acanthephyra,96113,"Much of the prey data is low-resolution, but there's enough pred and prey data to keep it in.",Acanthephyra,96113,Acanthephyra,96113,Acanthephyra,96113,shrimp,Arthropoda,shrimp,,OBISGBIF,done,"no species specific data, good prey data and some predator data for several congeners"
Acanthoica,2187,Prymnesiophyceae,2135,"No data for this genus, but lumping to family adds pred links.",Prymnesiophyceae,2135,Prymnesiophyceae,2135,Prymnesiophyceae,2135,phytoplankton,Haptophyta,haptophyte,,OBISGBIF,done,no data available
Acantholumpenus mackayi,171556,,dropped,Very little data after splitting prey,,dropped,,dropped,,dropped,fish,Chordata,prickleback,,OBISGBIF,done,"Some low-resolution prey data, no predator data available"
Acanthomysis stelleri,89871,Mysida,89855,"Sad to lump this order, but too many links lost by splitting.",Mysida,89855,Mysida,89855,Mysida,89855,shrimp,Arthropoda,mysid,"Exacanthomysis arctopacifica, Orientomysis stelleri",OBISGBIF,done,No species or genus-specific references; lots of prey and predator data for several genera within mysidacea
Acartia longiremis,86087,Acartia,86084,"All species within this genus eat benthic diatoms, dinoflagellates and phytoplankton. There is more complete prey data for congeners of A. longiremis than for the species itself. Much of the data on predators of Acartia is not species-specific.",,drop,Acartia,86084,,drop,copepod,Arthropoda,copepod,Dias longiremis,OBISGBIF,done,Good prey and predator data for this species and several others within the genus
Acartia tumida,86089,Acartia,86084,"No data for this species, but lots for congeners.",,drop,Acartia,86084,,drop,copepod,Arthropoda,copepod,,OBISGBIF,done,"No species-specific predator or prey data, but lots for several congeners"
Achnanthes,3429,Achnanthes,3429,,Bacillariophyta,2286,Achnanthes,3429,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,Achnanthidium,OBISGBIF,done,Some predator data
Acila empirensis,no TSN,Nuculidae,79123,"Most data for the family is for Nucula, which is superficially very similar to Acila.",Nuculidae,79123,Nuculidae,79123,Nuculidae,79123,clam,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); one predator for a congener
Acila gettysburgensis,no TSN,Nuculidae,79123,,Nuculidae,79123,Nuculidae,79123,Nuculidae,79123,clam,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); one predator for a congener
Acila shumardi,no TSN,Nuculidae,79123,,Nuculidae,79123,Nuculidae,79123,Nuculidae,79123,clam,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); one predator for a congener
Acmaea mitra,69662,Acmaea mitra,69662,Many more links if congeners included.,Acmaea mitra,69662,Acmaea mitra,69662,Acmaea mitra,69662,limpet,Mollusca,limpet,,OBISGBIF,done,good prey and predator list
Acmira lopezi,66751,Paraonidae,66659,,Paraonidae,66659,Paraonidae,66659,Paraonidae,66659,worm,Annelida,polychaete,,OBISGBIF,done,One prey entry (deposit feeder); no predator data available
Adelosebastes latens,643715,,dropped,No data for this species or genus.,,dropped,,dropped,,dropped,fish,Chordata,scorpionfish,,OBISGBIF,done,No data available
Admete viridula,205086,,dropped,Insufficient data.,,dropped,,dropped,,dropped,snail,Mollusca,gastropod,"Admete borealis, Admeta contabulata, Admete couthouyi, Admete crispa, Admete distincta, Admete laevior, Admete middendorffiana, Admete undata, Admete undatocostata, Cancellaria buccinoides, Cancellaria couthouyi",OBISGBIF,done,No prey data and one predator for this genus; a few prey references for a species of Cancellaria
Aequorea forskalea,50634,Hydrozoa,48739,"Some genus-specific data is lost, but lots of predator data lists only ""hydrozoa"".",Hydrozoa,48739,Hydrozoa,48739,Hydrozoa,48739,hydroid,Cnidaria,hydroid,Aequorea aequorea,OBISGBIF,done,Lots of low-resolution prey data for A. aequorea and a congener; one species-specific predator and a few more predators for a congener
Agarum,11246,Agarum,11246,Mediocre grazer data,Agarum,11246,Agarum,11246,Agarum,11246,brown alga,Phaeophyta,seaweed,,Intertidal web,done,
Aglantha digitale,719178,Hydrozoa,48739,"Some genus-specific data is lost, but lots of predator data lists only ""hydrozoa"".",Hydrozoa,48739,Hydrozoa,48739,Hydrozoa,48739,hydroid,Cnidaria,hydroid,"Aglantha conica, Aglantha digitalis, Circe rosea",NOAA World Ocean Database,done,Good prey data (for a hydroid); some predator data
Agnesia septentrionalis,159220,,drop,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,,drop,,drop,tunicate,Chordata,tunicate,"Agnezia septentrionalis, Agnesia beringia",OBISGBIF,done,One prey entry (plankton); no predator data
Alaria,11289,Alaria,11289,OK grazer data.,Alaria,11289,Alaria,11289,Alaria,11289,brown alga,Phaeophyta,seaweed,,Intertidal web,done,
Albatrossia pectoralis,165427,Albatrossia pectoralis,165427,All data for this genus is for A. pectoralis.,Albatrossia pectoralis,165427,Albatrossia pectoralis,165427,Albatrossia pectoralis,165427,fish,Chordata,grenadier,"Chalinura pectoralis, Coryphaenoides pectoralis, Dolloa pectoralis, Macrurus magnus, Macrurus pectoralis, Nematonurus pectoralis","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,"Lots of prey data, but much of it is low-resolution; one predator listed; additional pred and prey data for congeners of several synonym genera"
