Abietinaria greenei
Abietinaria greeni
Acantholithodes hispidus
Acmaea mitra
Acteocina harpa
Actinaria (Order) - Unknown
Actiniidae - Unknown
Aeolidina (suborder) - Unknown
Agarum fimbriatum
Ahnfeltiopsis linearis
Alaria spp.
Alvania
Ammothella sp.
Amphipholis sp.
Amphipods
Amphissa columbianum
Amphissa spp.
Amphissa versicolor
Annelids
Anoplodactylus viridintestinalis
Anthopleura artemisia
Anthopleura xanthogrammica
Apodichthys flavidus
Armandia brevis
Artedius fenestralis
Artedius harringtoni
articulated coralline
Asterina miniata
Asteroidea (Class) - Unknown
Astraea gibberosa
Astyris gausapata
Aulorhynchus flavidus
Balanophyllia elegans
Balanus crenatus
Balcis micans
Bangia spp.
Barnacles
Betaeus sp.
Bittium
Bivalves
Bivalvia (Class) - Unknown
Bossiella californica schmittii
Bossiella chiloensis
Bossiella frondescens
Bossiella orbigniana dichotoma
Bossiella plumosa
Bossiella spp.
boulders and cobble
Brachyistius frenatus
BRF
Brittle stars
Brittlestars
Brown Irish Lord
Brown recruits
Bryozoans
Bryzoans
Cadlina luteomarginata
Calliarthron spp.
Calliarthron tuberculosum
Calliostoma canaliculatum
Calliostoma ligatum
Calliostoma spp.
Callophyllis crenulata
Callophyllis edentata
Callophyllis flabellulata
Callophyllis heanophylla
Callophyllis spp.
Callophyllis spp. #1
Callophyllis spp. #2
Cancer oregonensis
Cancer productus
Cancer sp. 
Cancer spp.
Caprella sp.
Ceratostoma foliatum
Ceratostoma inornatum
Cerebratulus californiensis
Chaetopleura gemma
Chelyosoma productum
Chirolophis nugator
Chirolophis spp.
chiton
Chitons
Chlamys hastata
Chlamys sp.
Chlorostoma funebralis
Chlorostoma pulligo
Chondracanthus corymbifera
Chondracanthus corymbiferus
Chondracanthus corymiberus
Chondracanthus exasperatus
Chondracanthus sp.
Chordates
Cirratulus cirratus
Clam
Clavelina huntsmani
Cnemidocarpa finmarkiensis
cobbly/rocky
Colanthura bruscai
Columbellidae - Unknown
Constantinea subulifera
Copepoda (Subclass)
Corallina officianalis
Corallina vancouverensis
Coryphopterus nicholsi
Costaria costata
Crabs
Crap Parts - Unknown
Crassodoma gigantea
Crassostrea
Crepidula adunca
Crepidula perforans
Crepidula sp.
Crescent gunnel
CRF
crustose coralline
Cryptochiton stellari
Cryptolithodes sitchensis
Cryptolithodes typicus
Cryptolithoides typicus
Cryptonatica affinus
Cryptopleura
Cryptopleura ruprechtiana
Cucumaria miniata (orange cucumber)
Cucumaria sp.
Cucumaria spp.
Cumella sp.
Cup Coral
Cymathere triplicata
Cymatogaster aggregata
Debris
Decorator crab
Dendrochiton flectens
Derbesia marina
Dermasterias imbricata
Desmarestia ligulata
Desmarestia spp.
Desmerestia
Desmerestia ligulata
Diaphana californica
Diaulula sandiegensis
Diodora aspera
Dirona albolineata
Dodecaceria concharum
Dodecaceria fewkesi
Dorididae - Unknown
Doris monteryensis
Doris odhneri
Echinoidae (Class) - Unknown
Eisenia arborea
Embiotica lateralis
encrusting bryzoan
Encrusting orange sponge
Encrusting sponge
encrusting sponge
Enopla sp.
Epiactis spp.
Epitonium
Evasterias
Evasterias troschelii
Fauchia
feather hydroid
Fissurellidae bimaculata
Flabelligeridae - Unknown
flat limpet
Foraminifera (Phylum)
Fucus disticulus
Gari californica
Gibbonsia spp.
Glans carpenteri
Glycera nana
Goby
Goby spp.
Gracilariopsis andersonii
Granulina margaritula
Griffithsia pacifica
Grunt-like Sculpin
Gunnel
Gunnel spp.
Haliclystus stejnegeri
Haliotis kamtschatkana
Halosydna brevisetosa
Hemigrapsus nudis
Hemigrapsus oregonensis
Hemilepidotus hemilepidotus
Hemilepidotus spinosus
Henricia leviuscula
Henricia sp.
Hermissenda crassicornis
hermit crabs
Hermit crabs
Hesionidae - Unknown
Heteropora pacifica
Hexagrammos decagrammos
Hexagrammos spp.
Hiatella arctica
Hildenbrandia
Hippodiplosia insculpta
Hippoglossus stenolepis
Hydroids
Hymenema flabelligera
Hyperprosopon ellipticum
Idanthyrsus armatus
Idotea rufescens
Idotea urotoma
Isaeidae - Unknown
Isopods
Joeropsis sp.
Jordania zonope
kelp holdfast
Kelp perch
kelp recruits
KGJ
Lacuna vincta
Laminaria bongardiana
Laminaria setchellii
Lepasterias
Lepidepecreum sp.
Lepidozona intersintus
Lepidozona mertensii
Lepidozona sp.
Lepidozona spp.
Leptasterias spp.
Leptochelia
Leptoplana chloranota
Limpets
lingcod
Lirularia
Lirularia parcipicta
Lirularia succincta
Longfin gunnel
longfin Sculpin
Lopholithodes mandtii
Lothopanopeus bellus
Lottia instabilis
Lottia sp.
Lottia spp.
Loxorhynchus crispatus
Lumbrineridae - Unknown
Lyonsia arenosa
Macrocystis integrifolia
Macrocystis integrifolia drift
Manania gwilliami
Mazzaella sp.
Mazzaella splendens
Mediaster aequalis
Melibe leonina
Membranoptera sp.
Metridium spp.
Microstomus pacificus
Mimulus foliatus
Mite
Monocoraphium sp.
Monostylifera sp.
Mopalia sinuata
Mopalia sp.
Mopalia spectabilis
Mopalia spp.
Munna sp.
Myriogramme pulchra
Mytilidae - Unknown
Naineris dendritica
Naticidae - Unknown
Nemata (Phylum)
Nemertean
Nemerteans
Neoamphitrite robusta
Neodilsea borealis
Neogastroclonium subarticulatum (?)
Nereocystis
Nereocystis drift
Nereocystis luetkeana
Nitophyllum hollenbergii
Notoplana sp.
Nucella
Nuttallina sp.
Obelia sp.
Ocinebrina
Odontosyllis sp.
Odostomia
Onuphidae - Unknown
Ophiodon elongatus
Ophiopholis kennerlyi
Ophiopholus aculeata
Opuntiella californica
orange sponge
Orange volcano sponge
Oregonia gracilis
Orthasterias koehleri
Osmundea spectabilis
Other
Other Crustaceans
Other Gastropods
Oxylebius pictus
Pachycheles pubescens
Pachycheles rudis
Pachycheles sp.
Pagurus sp.
Pagurus spp.
Pandalus platyceros
Pandalus sp.
Paranemertes peregrina
Parapholus (Penitella penita?)
Parastichopus spp.
Peanut Worm
Peltodoris nobilis
Peramphithoe humeralis
Petrolisthes enomerus
Petrolisthes spp.
Phascolosoma agassizii
Philomedidae - Unknown
Phoca vitulina
Pholis clemensi
Pholis laeta
Phyllodocidae - Unknown
Phyllolithodes papillosus
Phyllospadix
Phyllospadix 
Phyllospadix drift
Pinnixa tubicola
Pisaster brevispinus
Placiphorella rufa
Placiphorella spp.
Placiphorella velata
Placiphorella vellata
Platyhelminthes
Platynereis bicanaliculata
Pleurophycus
Pleurophycus gardneri
Podoceridae - Unknown
Podocerus cristatas
Pododesmus macrochisma
Pollicipes polymerus
Polychaete - Unknown
Polycheria osborni
Polycirrus sp.
Polyneura latissima
Porifera
Porphyra sp.
Prawn
Praxillella sp.
Prionitis lanceolata
Promartynia pulligo
Pseudocnus hibricus
Pterosiphonia hamata
Pterygophera
Pterygophera californica
Pugettia gracilis
Pugettia producta
Pugettia richii
Pugettia sp.
Pugettia spp.
Pycnopodia helianthoides
Pyropia sp.
Pyropia sp. #1
red algae remains
red algae scraps
red bladed bits unknown
Red Irish Lord
red scraps_unknown red blades
Rhacochilus vacca (Damalichthys vacca)
Rhamphocottus richardsoni
Rhodophilum plumosum
Rhodoptilum plumosum
Rhodymenia californica
Rhodymenia pacifica
Rissoidae - Unknown
Sabellana cementanum
Sabellidae - Unknown
Scallop
Scorpaenichthys marmoratus
Sculpin spp.
Scyra acutifrons
Sea Anemones
Sea Cucumbers
Sea spiders and Mites
Sea stars
seastar recruit
Sebastes caurinus
Sebastes flavidus
Sebastes maliger
Sebastes melanops
Sebastes miniatus
Sebastes mystinus
Sebastes nebulosus
Sebastes nigrocintus
Sebastes pinnegar
Sebastes ruberrimus
Sebastes spp.
Serpula columbiana
Serpula spp.
sharpnose crab
shrimp
Smithora naiadum
Snails
Solamen columbianum
Solaster dawsoni
Solaster spp.
Solaster stimpsoni
Sphaerodoropsis minuta
Sphaeromatidae - Unknown
spider crab
Strongylocentrotus droebachiensis
Strongylocentrotus franciscanus
Strongylocentrotus pallidus
Strongylocentrotus purpuratus
Strongylocentrotus spp.
Styela montereyensis
Surfperch spp.
Syllidae - Unknown
Synapseudes sp.
Synchirus giili
Syngnathus griseolineatus
Tectura spp.
Tegula pulligo
Tegula spp.
Terebellidae - Unknown
Terebratulina unguicula
Tonicella lineata
Tonicella sp.
Tonicella spp.
Tonicella undocaerulea
Tricolia pulloides
Trimusculus reticulatus
Triton
tube worms
Tunicata - Unknown
Tunicates
Turridae - Unknown
Ulva sp.
unidentified crab
Unidentified nudibranch
Urchins
Urticina coriacea
Urticina lofotensis
Urticina piscivora
Velutinidae - Unknown
Veneroida (Order) - Unknown
Warbonnet
Whelk
Yellow sponge
Zostera japonica
Zostera marina
