Date,team,collector,region,location,site,dive,dive_time,start,end,quad,quad#site,id,depth_ft,depth_m,corr factor,depth_corr,species,group1,group2,group3,size,cryptic,number,biomass_g,percent_cov,notes,
30-Jun-09,JJ + SCK,"JJ, SCK",Barkley Sound,George Fraser Island,GFI,2,76,12:27,,2,15,34,18,5.5,1.28,4.2,Abietinaria greenei,hydroid,hydroid,hydroid,,,,,15,,
30-Jun-09,JJ + SCK,"JJ, SCK",Barkley Sound,George Fraser Island,GFI,2,76,12:27,,3,16,35,25,7.6,1.28,6.3,Abietinaria greenei,hydroid,hydroid,hydroid,,,,,20,,
4-Jul-09,JCN + SCK,"SCK, JCN",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,1,51,9:37,,3,14,3,31,9.4,1.91,7.5,Acmaea mitra,limpet,small grazer,small grazer,5,,1,24.5183404,,,
1-Jul-09,JCN + SCK,"SCK, JCN",Barkley Sound,George Fraser Island,GFI,1,55,9:37,,1,18,37,30,9.1,2.31,6.8,Acmaea mitra,limpet,small grazer,small grazer,3,,1,6.435796515,,,
1-Jul-09,JCN + SCK,"SCK, JCN",Barkley Sound,George Fraser Island,GFI,1,55,9:37,,2,19,38,25,7.6,2.31,5.3,Acmaea mitra,limpet,small grazer,small grazer,3,,1,6.435796515,,,
1-Jul-09,JCN + SCK,"SCK, JCN",Barkley Sound,George Fraser Island,GFI,1,55,9:37,,2,19,38,25,7.6,2.31,5.3,Acmaea mitra,limpet,small grazer,small grazer,3,,1,6.435796515,,,
1-Jul-09,JCN + SCK,"SCK, JCN",Barkley Sound,George Fraser Island,GFI,1,55,9:37,,5,22,41,22,6.7,2.31,4.4,Acmaea mitra,limpet,small grazer,small grazer,1,,1,0.3625,,,
1-Jul-09,JCN + SCK,"SCK, JCN",Barkley Sound,George Fraser Island,GFI,1,55,9:37,,5,22,41,22,6.7,2.31,4.4,Acmaea mitra,limpet,small grazer,small grazer,3,,1,6.435796515,,,
2-Jul-09,JCN + SCK,"SCK, JCN",Barkley Sound,Seppings-Haines,SepHaines,1,59,8:50,,3,5,48,21,6.4,2.17,4.2,Acmaea mitra,limpet,small grazer,small grazer,2,,1,2.225998932,,,
2-Jul-09,JJ + SJF,JJ,Barkley Sound,Seppings-Haines,SepHaines,1,43,9:04,,3,6,49,21,6.4,2.23,4.2,Acmaea mitra,limpet,small grazer,small grazer,3,,1,6.435796515,,,
