date,collector,region,location,site,dive#,vis,transect length,transect#,transect_site#,transect_id,depth_ft,depth_m,divetime,time_in,time_out,corr_factor,depth_corr,species,group1,group2,size_cm,cryptic,count,biomass_g,notes,,
26-Aug-09,"SJF, SJD",Kyuquot Sound,Grassy Island,Grassy 4,2,,,1,5,38,27,,,,,,,Acanthodoris hudsoni,nudibranch,nudibranch,1.5,,1,,,,
26-Aug-09,"SJF, SJD",Kyuquot Sound,Grassy Island,Grassy 4,2,,,1,5,38,27,,,,,,,Acanthodoris hudsoni,nudibranch,nudibranch,1.5,,1,,,,
23-Jul-09,"SF, RGM",Clayquot Sound,LAC,LAC 1 DOM 11,1,15,,2,2,29,,5.7,62,10:42,,,,Acanthodoris nanaimoensis,nudibranch,nudibranch,4,,1,,,,
23-Jul-09,"SF, RGM",Clayquot Sound,LAC,LAC 1 DOM 11,1,15,,2,2,29,,5.7,62,10:42,,,,Acanthodoris nanaimoensis,nudibranch,nudibranch,3,,1,,,,
3-Jul-09,"RGM, SJD",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,3,6,,4,1,1,,7,57,13:00,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
3-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,3,6,,4,1,1,,7,57,13:00,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
3-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,3,6,,4,1,1,,7,57,13:00,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
3-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,3,6,,4,1,1,,7,57,13:00,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
3-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,3,6,,4,1,1,,7,57,13:00,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
3-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,3,6,,4,1,1,,7,57,13:00,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
3-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,3,6,,4,1,1,,7,57,13:00,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
4-Jul-09,"RGM, SJD",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,1,7,,5,2,2,,8,66,9:37,,,,Acmaea mitra,limpet,small grazer,3,,1,6.435796515,,,
4-Jul-09,"RGM, SJD",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,1,7,,5,2,2,,8,66,9:37,,,,Acmaea mitra,limpet,small grazer,1,,1,0.3625,,,
4-Jul-09,"RGM, SJD",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,1,7,,5,2,2,,8,66,9:37,,,,Acmaea mitra,limpet,small grazer,3,,1,6.435796515,,,
4-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,1,7,,5,2,2,,8.5,66,9:37,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
4-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,1,7,,6,3,3,,8,66,9:37,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
4-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,1,7,,6,3,3,,8,66,9:37,,,,Acmaea mitra,limpet,small grazer,3,,1,6.435796515,,,
4-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,1,7,,6,3,3,,8,66,9:37,,,,Acmaea mitra,limpet,small grazer,1,,1,0.3625,,,
4-Jul-09,"SJD, RGM",Barkley Sound,Bluestone/Prasiola/Execution,Bluestone,1,7,,6,3,3,,8,66,9:37,,,,Acmaea mitra,limpet,small grazer,1,,1,0.3625,,,
1-Jul-09,"RGM, SJD",Barkley Sound,George Fraser Island,GFI,1,,,1,1,7,,7.7,55,9:41,,,,Acmaea mitra,limpet,small grazer,3,,1,6.435796515,,,
1-Jul-09,"RGM, SJD",Barkley Sound,George Fraser Island,GFI,1,,,1,1,7,,7.7,55,9:41,,,,Acmaea mitra,limpet,small grazer,4,,1,13.66916205,,,
30-Jun-09,"RGM, SJD",Barkley Sound,George Fraser Island,smurf 1,1,15 ft,,1,3,9,,6.2,60,9:48,,,,Acmaea mitra,limpet,small grazer,3,,1,6.435796515,,,
30-Jun-09,"RGM, SJD",Barkley Sound,George Fraser Island,smurf 1,1,15 ft,,1,3,9,,6.2,60,9:48,,,,Acmaea mitra,limpet,small grazer,3,,1,6.435796515,,,
30-Jun-09,"RGM, SJD",Barkley Sound,George Fraser Island,smurf 1,1,15 ft,,1,3,9,,6.2,60,9:48,,,,Acmaea mitra,limpet,small grazer,4,,1,13.66916205,,,
30-Jun-09,"RGM, SJD",Barkley Sound,George Fraser Island,smurf 1,1,15 ft,,2,4,10,,7.5,60,9:48,,,,Acmaea mitra,limpet,small grazer,5,,1,24.5183404,,,
30-Jun-09,"RGM, SJD",Barkley Sound,George Fraser Island,smurf 2/GFI 2,2,15 ft,,3,5,11,,6 to 8,58,12:35,,,,Acmaea mitra,limpet,small grazer,1,,1,0.3625,,,
30-Jun-09,"RGM, SJD",Barkley Sound,George Fraser Island,smurf 2/GFI 2,2,15 ft,,3,5,11,,6 to 8,58,12:35,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
30-Jun-09,"RGM, SJD",Barkley Sound,George Fraser Island,smurf 2/GFI 2,2,15 ft,,3,5,11,,6 to 8,58,12:35,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
30-Jun-09,"RGM, SJD",Barkley Sound,George Fraser Island,smurf 2/GFI 2,2,15 ft,,3,5,11,,6 to 8,58,12:35,,,,Acmaea mitra,limpet,small grazer,3,,1,6.435796515,,,
30-Jun-09,"RGM, SJD",Barkley Sound,George Fraser Island,smurf 2/GFI 2,2,15 ft,,4,6,12,,6.5,58,12:35,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,1,,,1,1,13,,3.5,58,9:11,,,,Acmaea mitra,limpet,small grazer,4,,1,13.66916205,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,1,,,1,1,13,,3.5,58,9:11,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,1,,,1,1,13,,3.5,58,9:11,,,,Acmaea mitra,limpet,small grazer,1,,1,0.3625,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,1,,,1,1,13,,3.5,58,9:11,,,,Acmaea mitra,limpet,small grazer,3.5,,1,9.635977522,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,2,,,3,3,15,,5.8,59,11:11,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,2,,,3,3,15,,5.8,59,11:11,,,,Acmaea mitra,limpet,small grazer,3,,1,6.435796515,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,2,,,3,3,15,,5.8,59,11:11,,,,Acmaea mitra,limpet,small grazer,4,,1,13.66916205,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,2,,,4,4,16,,5.3,59,11:11,,,,Acmaea mitra,limpet,small grazer,3,,1,6.435796515,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,2,,,4,4,16,,5.3,59,11:11,,,,Acmaea mitra,limpet,small grazer,3,,1,6.435796515,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,2,,,4,4,16,,5.3,59,11:11,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
2-Jul-09,"RGM, SJD",Barkley Sound,Seppings-Haines,SepHaines,2,,,4,4,16,,5.3,59,11:11,,,,Acmaea mitra,limpet,small grazer,4,,1,13.66916205,,,
2-Jul-09,"SJD, RGM",Barkley Sound,Seppings-Haines,SepHaines,2,,,4,4,16,,6,59,11:11,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
2-Jul-09,"SJD, RGM",Barkley Sound,Seppings-Haines,SepHaines,2,,,4,4,16,,6,59,11:11,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
2-Jul-09,"SJD, RGM",Barkley Sound,Seppings-Haines,SepHaines,2,,,4,4,16,,6,59,11:11,,,,Acmaea mitra,limpet,small grazer,2,,1,2.225998932,,,
